skill,path,category,priority,purpose,flow_use_case,expected_frequency,context_token_cost,overlap,security_risk,signals,recommendation,bytes
biostudies-arrayexpress-skill,biostudies-arrayexpress-skill,H - IRRELEVANT TO FLOW,P4,Submit compact BioStudies and ArrayExpress API requests for free-text search and accession-based study retrieval. Use when a user wants concise BioStudies summaries,No clear current Flow use case found.,Unlikely,Medium,None obvious,LOW-MEDIUM,shell/package execution,Candidate to disable after approval; review before use with credentials or shell access,2346
boltz-check-status,boltz-check-status,H - IRRELEVANT TO FLOW,P4,"Boltz job status and result recovery. Use when listing jobs, checking progress, resuming downloads, recovering results, or downloading an existing job ID. Not for starting new jobs.",No clear current Flow use case found.,Unlikely,Medium,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; credential handling; broad external access,Candidate to disable after approval; review before use with credentials or shell access,7023
boltz-cli-setup,boltz-cli-setup,H - IRRELEVANT TO FLOW,P4,"Boltz CLI setup and auth. Use when installing, updating, verifying, or authenticating `boltz-api`, or fixing missing CLI, PATH, sandbox, browser login, or auth errors.",No clear current Flow use case found.,Unlikely,Medium,None obvious,MEDIUM,shell/package execution; credential handling; broad external access,Candidate to disable after approval; review before use with credentials or shell access,4162
boltz-protein-design,boltz-protein-design,H - IRRELEVANT TO FLOW,P4,"Design new protein binders with Boltz. Use when generating protein, peptide, antibody, nanobody, or custom binder candidates for a target. Not for screening existing proteins or small molecules.",No clear current Flow use case found.,Unlikely,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access,Candidate to disable after approval; review before use with credentials or shell access,14157
boltz-protein-screen,boltz-protein-screen,H - IRRELEVANT TO FLOW,P4,"Screen existing protein binders with Boltz. Use when ranking a supplied protein, peptide, antibody, nanobody, or binder library against a target. Not for designing new proteins or screening small molecules.",No clear current Flow use case found.,Unlikely,Medium,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; credential handling; broad external access,Candidate to disable after approval; review before use with credentials or shell access,8490
boltz-small-molecule-adme,boltz-small-molecule-adme,H - IRRELEVANT TO FLOW,P4,"Predict Tier-1 ADME/ADMET for small molecules with Boltz from bare SMILES — no target, no docking. Use when the user wants solubility, permeability, or lipophilicity/logD for a molecule or list of molecules. Not for ranking molecules agains",No clear current Flow use case found.,Unlikely,Medium,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; credential handling; broad external access,Candidate to disable after approval; review before use with credentials or shell access,6569
boltz-small-molecule-design,boltz-small-molecule-design,H - IRRELEVANT TO FLOW,P4,Design new small-molecule binders with Boltz. Use when generating novel ligands or hits for a target without a fixed compound library. Not for screening existing molecules or one-off docking.,No clear current Flow use case found.,Unlikely,Medium,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; credential handling; broad external access,Candidate to disable after approval; review before use with credentials or shell access,8730
boltz-small-molecule-screen,boltz-small-molecule-screen,H - IRRELEVANT TO FLOW,P4,"Screen existing small-molecule libraries with Boltz. Use when docking, scoring, or ranking a supplied SMILES or compound library against a target; also returns free Tier-1 ADME/ADMET (solubility, permeability, lipophilicity/logD) per molecu",No clear current Flow use case found.,Unlikely,High,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; credential handling; broad external access,Candidate to disable after approval; review before use with credentials or shell access,9115
boltz-structure-and-binding,boltz-structure-and-binding,H - IRRELEVANT TO FLOW,P4,"Predict structures and binding for one defined complex with Boltz. Use when folding a protein, RNA, DNA, or ligand complex, docking one ligand, predicting an interface, or scoring binding. Not for screening libraries or design.",No clear current Flow use case found.,Unlikely,Medium,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; credential handling; broad external access,Candidate to disable after approval; review before use with credentials or shell access,8774
bootstrap,bootstrap,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Project bootstrapping orchestrator for repos that depend on Vercel-linked resources (databases, auth, and managed integrations). Use when setting up or repairing a repository so linking, environment provisioning, env pulls, and first-run db","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Keep on-demand for infra/deploy,6981
box-content-api,box,F - DOMAIN-SPECIFIC / FUTURE,P3,"Build and troubleshoot Box integrations for uploads, folders, folder listings, downloads and previews, shared links, collaborations, search, metadata, event-driven automations, and Box AI retrieval flows. Use when Codex needs to add Box API","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access,Park for future integrations,10083
brainstorming,brainstorming,E - INFRASTRUCTURE / DEPLOYMENT,P2,"You MUST use this before any creative work - creating features, building components, adding functionality, or modifying behavior. Explores user intent, requirements and design before implementation.","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,MEDIUM,credential handling; broad external access,Keep on-demand for infra/deploy,10005
brand-guidelines,brand-guidelines,H - IRRELEVANT TO FLOW,P4,"Applies Anthropic's official brand colors and typography to any sort of artifact that may benefit from having Anthropic's look-and-feel. Use it when brand colors or style guidelines, visual formatting, or company design standards apply.",No clear current Flow use case found.,Unlikely,Medium,None obvious,LOW,No notable risky pattern in sampled scan,Candidate to disable after approval,2235
brighthire,brighthire,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Use BrightHire tools when a user asks about BrightHire interview intelligence, calls, candidates, roles, scorecards, transcripts, hiring decisions, or organization-level interview data.","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Low,None obvious,LOW-MEDIUM,credential handling,Keep on-demand for infra/deploy,1512
build-chatgpt-app,build-chatgpt-app,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Build, scaffold, refactor, and troubleshoot ChatGPT Apps SDK applications that combine an MCP server and widget UI. Use when Codex needs to design tools, register UI resources, wire the MCP Apps bridge or ChatGPT compatibility APIs, apply A","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,MEDIUM,remote dynamic instructions; credential handling; broad external access,Keep on-demand for infra/deploy,19644
build-model,build-model,H - IRRELEVANT TO FLOW,P4,Build a multi-tab Excel financial model,No clear current Flow use case found.,Unlikely,Medium,None obvious,LOW-MEDIUM,broad external access,Candidate to disable after approval; review before use with credentials or shell access,7849
build-run-debug,build-run-debug,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Build, run, and debug macOS apps with shell-first Xcode and Swift workflows. Use when launching apps or diagnosing build, startup, or runtime failures.","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Keep on-demand for infra/deploy,7933
build-zoom-bot,build-zoom-bot,D - UI/UX,P2,Use when building bots.,"Use for Flow interface, review, accessibility, visual evidence, and interaction quality.",On demand,Low,None obvious,LOW-MEDIUM,credential handling,Keep for UI work,1073
build-zoom-meeting-app,build-zoom-meeting-app,E - INFRASTRUCTURE / DEPLOYMENT,P2,Use when embedding meetings.,"Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Low,None obvious,LOW-MEDIUM,credential handling,Keep on-demand for infra/deploy,1162
building-ai-agent-on-cloudflare,building-ai-agent-on-cloudflare,A - CORE / FREQUENT,P1,/,"Current Flow architecture, agent, MCP, database, frontend, verification, security, or workflow work.",Frequent,High,None obvious,LOW-MEDIUM,shell/package execution; global/local config,Keep as core candidate,9787
building-mcp-server-on-cloudflare,building-mcp-server-on-cloudflare,A - CORE / FREQUENT,P1,/,"Current Flow architecture, agent, MCP, database, frontend, verification, security, or workflow work.",Frequent,Medium,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Keep as core candidate,6421
building-native-ui,building-native-ui,D - UI/UX,P2,"Complete guide for building beautiful apps with Expo Router. Covers fundamentals, styling, components, navigation, animations, patterns, and native tabs.","Use for Flow interface, review, accessibility, visual evidence, and interaction quality.",On demand,High,None obvious,LOW-MEDIUM,shell/package execution; broad external access; global/local config,Keep for UI work,10433
circleci-builds,builds,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Diagnose and fix failing CircleCI builds quickly and safely. Use when users ask to investigate failed CircleCI jobs, triage flaky pipelines, identify root causes from logs, and implement minimal fixes in configuration, test setup, or build-","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Medium,None obvious,LOW-MEDIUM,broad external access,Keep on-demand for infra/deploy,2324
